indexID,date,stockID,wgt
EI000905,2015/6/29,EQ600729,0.007311549
EI000905,2015/6/29,EQ600759,0.012243741
EI000905,2015/6/29,EQ600823,0.013734257
EI000905,2015/6/29,EQ600835,0.017514174
EI000905,2015/6/29,EQ600850,0.010546579
EI000905,2015/6/29,EQ600851,0.009789731
EI000905,2015/6/29,EQ600859,0.008088113
EI000905,2015/6/29,EQ600864,0.00728318
EI000905,2015/6/29,EQ600884,0.010760315
EI000905,2015/6/29,EQ600885,0.010276091
EI000905,2015/6/29,EQ600970,0.013389674
EI000905,2015/6/29,EQ600993,0.008151821
EI000905,2015/6/29,EQ601001,0.006865234
EI000905,2015/6/29,EQ601678,0.005459687
EI000905,2015/6/29,EQ601908,0.008658262
EI000905,2015/6/29,EQ601999,0.012244036
EI000905,2015/6/29,EQ603001,0.010874377
EI000905,2015/6/29,EQ603005,0.007663903
EI000905,2015/6/29,EQ603328,0.005707819
EI000905,2015/6/29,EQ603369,0.003662907
EI000905,2015/6/29,EQ603699,0.006700855
EI000905,2015/6/29,EQ603766,0.012851049
EI000905,2015/7/29,EQ000006,0.011989462
EI000905,2015/7/29,EQ000030,0.010089063
EI000905,2015/7/29,EQ000090,0.010289082
EI000905,2015/7/29,EQ000401,0.011767643
EI000905,2015/7/29,EQ000488,0.014762537
EI000905,2015/7/29,EQ000501,0.01120672
EI000905,2015/7/29,EQ000563,0.016817121
EI000905,2015/7/29,EQ000612,0.011101668
EI000905,2015/7/29,EQ000685,0.0098596
EI000905,2015/7/29,EQ000718,0.013522214
EI000905,2015/7/29,EQ000758,0.015227988
EI000905,2015/7/29,EQ000780,0.00552358
EI000905,2015/7/29,EQ000816,0.010428197
EI000905,2015/7/29,EQ000823,0.007478436
EI000905,2015/7/29,EQ000919,0.007725317
EI000905,2015/7/29,EQ000926,0.00770758
EI000905,2015/7/29,EQ000931,0.00788689
EI000905,2015/7/29,EQ000962,0.008704622
EI000905,2015/7/29,EQ000975,0.011664171
EI000905,2015/7/29,EQ000988,0.011461043
EI000905,2015/7/29,EQ002028,0.009012065
EI000905,2015/7/29,EQ002029,0.012639857
EI000905,2015/7/29,EQ002041,0.012012168
EI000905,2015/7/29,EQ002048,0.011639758
EI000905,2015/7/29,EQ002056,0.009942395
EI000905,2015/7/29,EQ002078,0.017360396
EI000905,2015/7/29,EQ002092,0.007002823
EI000905,2015/7/29,EQ002118,0.009503067
EI000905,2015/7/29,EQ002122,0.009955155
EI000905,2015/7/29,EQ002143,0.009728717
EI000905,2015/7/29,EQ002195,0.014564837
EI000905,2015/7/29,EQ002204,0.010415529
EI000905,2015/7/29,EQ002225,0.006344652
EI000905,2015/7/29,EQ002266,0.011630209
EI000905,2015/7/29,EQ002281,0.009851786
EI000905,2015/7/29,EQ002315,0.010886154
EI000905,2015/7/29,EQ002317,0.00843437
EI000905,2015/7/29,EQ002332,0.008800296
EI000905,2015/7/29,EQ002390,0.011688334
EI000905,2015/7/29,EQ002393,0.009257021
EI000905,2015/7/29,EQ002396,0.012399681
EI000905,2015/7/29,EQ002408,0.006897307
EI000905,2015/7/29,EQ002419,0.012311591
EI000905,2015/7/29,EQ002430,0.009948033
EI000905,2015/7/29,EQ002431,0.007893267
EI000905,2015/7/29,EQ002490,0.005555305
EI000905,2015/7/29,EQ002573,0.011094366
EI000905,2015/7/29,EQ002588,0.00652037
EI000905,2015/7/29,EQ002635,0.006360559
EI000905,2015/7/29,EQ002681,0.008359086
EI000905,2015/7/29,EQ002705,0.003579244
EI000905,2015/7/29,EQ300088,0.010360406
EI000905,2015/7/29,EQ300274,0.011964817
EI000905,2015/7/29,EQ600006,0.017533368
EI000905,2015/7/29,EQ600059,0.007713831
EI000905,2015/7/29,EQ600079,0.014481441
EI000905,2015/7/29,EQ600112,0.009038534
EI000905,2015/7/29,EQ600125,0.012501339
EI000905,2015/7/29,EQ600141,0.005396197
EI000905,2015/7/29,EQ600160,0.009793788
EI000905,2015/7/29,EQ600175,0.010115044
EI000905,2015/7/29,EQ600176,0.01073081
EI000905,2015/7/29,EQ600195,0.010374491
EI000905,2015/7/29,EQ600270,0.016325763
EI000905,2015/7/29,EQ600298,0.010639003
EI000905,2015/7/29,EQ600325,0.010745253
EI000905,2015/7/29,EQ600380,0.015770824
EI000905,2015/7/29,EQ600397,0.005560363
EI000905,2015/7/29,EQ600428,0.014524151
EI000905,2015/7/29,EQ600429,0.007416019
EI000905,2015/7/29,EQ600468,0.009436815
EI000905,2015/7/29,EQ600509,0.00744468
EI000905,2015/7/29,EQ600522,0.015309875
EI000905,2015/7/29,EQ600551,0.015066181
EI000905,2015/7/29,EQ600557,0.010576838
EI000905,2015/7/29,EQ600566,0.006917433
EI000905,2015/7/29,EQ600639,0.010744779
EI000905,2015/7/29,EQ600664,0.016786229
EI000905,2015/7/29,EQ600720,0.007517922
EI000905,2015/7/29,EQ600805,0.013593071
EI000905,2015/7/29,EQ600826,0.013099564
EI000905,2015/7/29,EQ600850,0.010749845
EI000905,2015/7/29,EQ600851,0.022243635
EI000905,2015/7/29,EQ600859,0.012342466
EI000905,2015/7/29,EQ600864,0.007142484
EI000905,2015/7/29,EQ600880,0.014223198
EI000905,2015/7/29,EQ600917,0.005842378
EI000905,2015/7/29,EQ600970,0.010730498
EI000905,2015/7/29,EQ601001,0.007335775
EI000905,2015/7/29,EQ601233,0.008704137
EI000905,2015/7/29,EQ601678,0.006096673
EI000905,2015/7/29,EQ601908,0.007899852
EI000905,2015/7/29,EQ601999,0.011867256
EI000905,2015/7/29,EQ603328,0.005112243
EI000905,2015/7/29,EQ603369,0.007549935
EI000905,2015/7/29,EQ603555,0.007879465
EI000905,2015/8/28,EQ000090,0.008790897
EI000905,2015/8/28,EQ000422,0.007769986
EI000905,2015/8/28,EQ000552,0.003929893
EI000905,2015/8/28,EQ000671,0.011678458
EI000905,2015/8/28,EQ000685,0.010336699
EI000905,2015/8/28,EQ000703,0.009770448
EI000905,2015/8/28,EQ000718,0.011325257
EI000905,2015/8/28,EQ000758,0.018194813
EI000905,2015/8/28,EQ000816,0.009332547
EI000905,2015/8/28,EQ000829,0.009149127
EI000905,2015/8/28,EQ000900,0.010930451
EI000905,2015/8/28,EQ000919,0.007352245
EI000905,2015/8/28,EQ000926,0.00676019
EI000905,2015/8/28,EQ000973,0.007452456
EI000905,2015/8/28,EQ002050,0.007889201
EI000905,2015/8/28,EQ002073,0.009803384
EI000905,2015/8/28,EQ002078,0.015718168
EI000905,2015/8/28,EQ002118,0.010145623
EI000905,2015/8/28,EQ002143,0.007802791
EI000905,2015/8/28,EQ002168,0.009124762
EI000905,2015/8/28,EQ002195,0.011783122
EI000905,2015/8/28,EQ002204,0.00966531
EI000905,2015/8/28,EQ002244,0.01232474
EI000905,2015/8/28,EQ002251,0.008905555
EI000905,2015/8/28,EQ002281,0.013790472
EI000905,2015/8/28,EQ002315,0.008834087
EI000905,2015/8/28,EQ002332,0.008435609
EI000905,2015/8/28,EQ002390,0.010589056
EI000905,2015/8/28,EQ002393,0.008747649
EI000905,2015/8/28,EQ002430,0.008959325
EI000905,2015/8/28,EQ002463,0.010142895
EI000905,2015/8/28,EQ002477,0.010228496
EI000905,2015/8/28,EQ002482,0.008175871
EI000905,2015/8/28,EQ002490,0.005182817
EI000905,2015/8/28,EQ002503,0.010201326
EI000905,2015/8/28,EQ002557,0.006896096
EI000905,2015/8/28,EQ002635,0.006307708
EI000905,2015/8/28,EQ002662,0.006808727
EI000905,2015/8/28,EQ002681,0.005623491
EI000905,2015/8/28,EQ300088,0.009871894
EI000905,2015/8/28,EQ300199,0.010449216
